INFO:root:Endpoint activated.
INFO:root:Table ready.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
INFO:root:Select from players.
